pair_id,domain,clean_text,corrupted_text,clean_label,corrupted_label,split,pair_hash
62,product,The packaging was attractive.,The packaging was unattractive.,positive,negative,discovery,a5c3292123f13f5b34e71bae5fac826cd28a0fe8c189f2a39f3dc24ecd1034f7
65,product,The delivery was remarkably fast.,The delivery was painfully slow.,positive,negative,discovery,b5aa7f6e1838348cb58d4d5441c2a52fb878f48625e5c2660e094258fe1ae8d8
67,product,The purchase was worthwhile.,The purchase was wasteful.,positive,negative,discovery,963d134af0efba00f1d3192df44cd4e00bda9e4d291953ac0b9eb33d456553b6
68,product,The product exceeded my expectations.,The product disappointed my expectations.,positive,negative,discovery,c938bc520caae6c7883ab20401fcd543428a97e4e971a7de7124d2f9f3d0ec40
69,product,The device felt premium and durable.,The device felt cheap and fragile.,positive,negative,discovery,fd0f64da6134664b2a8e2c5167a6e15a7e7c13456d1e59bc42b44ca9aa12d37a
71,book,The book was fascinating.,The book was tedious.,positive,negative,discovery,1282e738129fa4c7c84fa386cd70ae7b8ffe476345359419b707ba69f048ae95
72,book,The novel was beautifully written.,The novel was poorly written.,positive,negative,discovery,acd527a665db79ea4f0f98996f4e9d348f152e2ed506fddd67bf5d60b9b4d549
75,book,The narrative was engaging.,The narrative was boring.,positive,negative,discovery,900eaf73ed15af5d1a1269129bfcd98691d58b3fde025d0d0308a2d62abd495c
76,book,The ideas were thought-provoking.,The ideas were superficial.,positive,negative,discovery,c2e7d59a929ad5bf630a58bd92b22001dabc973a07ceeceb07de1a191a1665a6
77,book,The writing style was elegant.,The writing style was awkward.,positive,negative,discovery,801a0d17d4cd4d422b56c248d70ccb7c2f49f77ee10af9a44919fa1e7676e1a3
80,book,The book provided an excellent reading experience.,The book provided a disappointing reading experience.,positive,negative,discovery,1e9d81bbc81a7149701a6470bcac27701a868638f0eee0df51496fe4ecbec61d
81,general,The presentation was impressive.,The presentation was disappointing.,positive,negative,discovery,44769c07eacd9e59592f21e295cc8afe306996b359c799823a0cfdecf2dc9fe7
82,general,The lecture was informative.,The lecture was confusing.,positive,negative,discovery,c368e2d99da81f273b9ce79034affd55dbde3c652eee752577948fb58727d753
83,general,The meeting was productive.,The meeting was unproductive.,positive,negative,discovery,e010cc276e80392313bc0b2ff14b4239d27ed13ad0761a8fe19747fed0c3ab05
84,general,The project was successful.,The project was unsuccessful.,positive,negative,discovery,6846d3cc6cd70ac40d0d4c3f5bb6695fed23a4ad869bd6ee0bfb8834993ef1db
89,general,The event was enjoyable.,The event was unpleasant.,positive,negative,discovery,c8a7b6673f8438219b7e887ea1b1a85c80749117b8225070d83d20e6cd6400ef
90,general,The discussion was constructive.,The discussion was destructive.,positive,negative,discovery,0697b4349f16ebf397a083ff16cc071d682c9f5331422898b900c9f4cc3f771a
93,general,The decision was sensible.,The decision was foolish.,positive,negative,discovery,f6c2904c57d7a93f5000ca050d26610261f094e4265d905a2c1c0646400c28b1
94,general,The process was efficient.,The process was inefficient.,positive,negative,discovery,642f264d675f46db99a24aa913a5555b60005e3a9665c54d984fa2118758c65c
95,general,The outcome was favorable.,The outcome was unfavorable.,positive,negative,discovery,1c1ec2d1b011939794bead76c7625f40aa24bf6eb119e313cdcef61cb6148566
97,general,The overall result exceeded expectations.,The overall result fell below expectations.,positive,negative,discovery,7eb985cbd39d2d2ef27b89e10ff32179772497c4e1b9a436990a741ba15b45f4
99,general,The project progressed smoothly.,The project progressed poorly.,positive,negative,discovery,5eaa3caba2fa2ec5792529bb636fe5e0654ec0433187a0e6b525216ede2a1e70
100,general,The final result was remarkably successful.,The final result was remarkably unsuccessful.,positive,negative,discovery,72eef6225f3a3928ad6a7123a1c65c285cf0d9622bb450e80290c2d6f84e6fb4
